CUST_ID,BALANCE,BALANCE_FREQUENCY,PURCHASES,ONEOFF_PURCHASES,INSTALLMENTS_PURCHASES,CASH_ADVANCE,PURCHASES_FREQUENCY,ONEOFF_PURCHASES_FREQUENCY,PURCHASES_INSTALLMENTS_FREQUENCY,CASH_ADVANCE_FREQUENCY,CASH_ADVANCE_TRX,PURCHASES_TRX,CREDIT_LIMIT,PAYMENTS,MINIMUM_PAYMENTS,PRC_FULL_PAYMENT,TENURE
C10031,1705.24,0.8,2831.0,1260.82,548.58,2662.35,0.28,0.14,0.32,0.21,1,11,6336.07,4245.57,654.63,0.28,19
C10032,650.52,0.62,2325.02,2255.31,171.65,2822.08,0.63,0.29,0.12,0.11,0,18,11887.0,5999.56,108.07,0.48,19
C10033,9488.86,0.56,4860.31,313.1,1985.24,3002.92,0.19,0.29,0.05,0.25,2,14,7898.48,2668.22,1901.38,0.05,9
C10034,9656.32,0.54,3046.55,840.78,320.84,831.28,0.51,0.22,0.4,0.14,3,13,13449.0,2625.75,1166.48,0.02,22
C10035,8083.97,0.85,1754.04,836.19,1976.96,1898.69,0.19,0.42,0.05,0.22,1,18,5849.59,5071.27,1631.39,0.3,20
C10036,3046.14,0.67,579.34,1301.74,1954.79,3085.97,0.57,0.13,0.14,0.03,1,14,6170.62,4852.47,852.01,0.47,21
C10037,976.72,0.86,764.72,2941.3,1589.7,4849.09,0.7,0.22,0.43,0.25,0,12,13442.3,4413.35,1807.6,0.49,10
C10038,6842.33,0.53,1134.33,211.83,1322.25,3638.16,0.1,0.27,0.17,0.22,1,15,7501.18,2833.05,971.8,0.24,29
C10039,4401.52,0.66,1262.32,1560.92,1159.84,4613.02,0.69,0.33,0.49,0.06,2,13,8225.74,2011.24,1152.15,0.23,22
C10040,1220.38,0.77,4254.57,546.3,1733.54,3811.06,0.47,0.39,0.49,0.04,1,13,5658.69,3691.51,988.67,0.32,28
C10041,4951.77,0.9,2810.5,2912.32,585.98,2958.58,0.1,0.2,0.13,0.09,0,17,4873.38,5269.72,1469.22,0.28,12
C10042,343.89,0.66,2621.72,348.78,940.69,960.12,0.34,0.32,0.02,0.29,2,16,10183.28,5314.29,1137.65,0.32,28
C10043,9093.2,0.81,582.7,1216.77,1242.59,3333.43,0.13,0.08,0.35,0.08,1,12,2677.77,740.14,550.48,0.44,20
C10044,2587.8,0.94,4302.1,2216.28,828.27,3116.9,0.56,0.47,0.23,0.14,0,9,13309.82,2627.27,299.62,0.37,22
C10045,6625.22,0.81,3616.84,2116.62,860.7,3012.35,0.61,0.19,0.05,0.01,0,18,11908.84,2841.86,1216.19,0.25,17
C10046,3117.11,0.62,347.67,1273.96,667.27,2448.93,0.08,0.36,0.35,0.12,1,17,3670.48,5867.93,983.47,0.23,16
C10047,5200.68,0.51,3542.1,1046.11,1132.82,2643.28,0.4,0.01,0.02,0.17,1,15,10716.28,4100.19,,0.32,24
C10048,5467.1,0.94,2722.26,1198.86,1702.64,1672.21,0.65,0.1,0.44,0.29,2,3,9436.86,2502.75,797.28,0.23,16
C10049,1848.54,0.51,417.81,800.19,411.04,2596.56,0.75,0.24,0.07,0.16,0,10,3583.49,253.74,1034.41,0.23,7
C10050,9695.85,0.94,2296.92,623.95,1869.52,987.78,0.41,0.44,0.06,0.25,3,14,4824.85,3435.77,1655.52,0.01,20
C10051,7751.33,0.76,2428.63,1454.29,1381.28,4025.87,0.76,0.26,0.09,0.16,1,10,6725.81,666.85,161.44,0.09,10
C10052,9394.99,0.97,837.21,812.92,1648.31,928.88,0.43,0.46,0.48,0.01,0,16,10789.4,5023.25,703.51,0.24,23
C10053,8948.27,0.9,4729.03,869.51,1116.82,424.83,0.32,0.24,0.35,0.09,1,14,9942.13,4539.86,1647.09,0.41,34
C10054,5979.0,1.0,4251.38,1973.7,1561.24,2181.23,0.68,0.25,0.4,0.17,0,13,8451.29,2817.0,,0.14,35
C10055,9218.74,0.68,3348.42,2905.93,42.24,3291.54,0.39,0.06,0.2,0.29,0,15,11757.75,2632.34,587.02,0.26,26
C10056,884.93,0.88,2316.85,1814.88,1638.58,2188.58,0.38,0.4,0.17,0.26,0,13,11611.13,5394.3,1692.22,0.17,26
C10057,1959.83,0.7,2064.71,240.17,89.88,1383.77,0.39,0.12,0.12,0.07,1,16,9650.03,1801.9,991.65,0.05,21
C10058,452.27,0.74,3258.36,236.0,1780.93,2790.86,0.68,0.45,0.24,0.07,0,13,12017.86,1569.22,1001.72,0.48,9
C10059,3253.3,0.81,2731.71,2854.76,1984.01,1735.01,0.67,0.46,0.28,0.06,0,17,5679.69,5641.26,1953.41,0.43,32
C10060,3886.77,0.94,320.74,898.9,595.19,4664.34,0.32,0.47,0.32,0.28,0,15,13337.49,4874.55,1894.76,0.04,28
C10061,2713.49,0.99,2567.39,285.28,428.53,4613.23,0.27,0.26,0.13,0.26,1,16,9608.74,4941.69,723.48,0.36,15
C10062,8287.38,0.88,4033.95,1801.14,1533.07,2511.86,0.39,0.34,0.47,0.23,1,8,12513.09,1251.64,289.75,0.17,27
C10063,3567.53,0.71,2301.61,1874.71,513.52,1639.42,0.46,0.39,0.08,0.12,0,17,8647.91,945.45,658.08,0.5,7
C10064,2809.35,0.71,269.26,1949.03,1732.47,3685.66,0.19,0.07,0.48,0.15,2,15,4058.14,253.57,70.66,0.15,20
C10065,5426.96,0.87,3933.53,809.53,214.66,183.56,0.64,0.3,0.01,0.14,2,16,8593.74,1498.54,51.33,0.12,9
C10066,1409.24,0.62,1014.81,55.18,260.65,2373.85,0.39,0.02,0.24,0.08,3,23,6195.56,4667.72,,0.28,34
C10067,8021.97,0.56,1300.52,2895.4,1958.51,1681.62,0.27,0.25,0.17,0.15,1,13,10764.99,1516.23,1882.63,0.42,21
C10068,745.51,0.68,831.88,760.17,1350.94,4602.68,0.09,0.08,0.22,0.01,0,19,7661.11,4401.71,1744.0,0.1,35
C10069,9868.87,0.64,1657.77,2031.32,1695.31,60.02,0.19,0.09,0.29,0.04,0,12,12705.58,1586.26,1027.77,0.35,32
C10070,7722.45,0.65,3786.19,2122.82,655.42,2764.07,0.76,0.18,0.22,0.27,0,13,10493.02,2432.23,1134.8,0.03,12
C10071,1987.16,0.62,2601.74,1833.92,1356.2,3703.32,0.24,0.22,0.21,0.23,2,10,10583.62,5900.66,21.81,0.46,30
C10072,55.22,0.52,1032.36,945.59,1192.54,2425.09,0.14,0.31,0.37,0.13,0,8,4040.17,1544.39,438.85,0.04,30
C10073,8154.61,0.51,4390.37,820.58,1210.27,427.02,0.37,0.04,0.34,0.16,2,21,14779.5,2320.59,59.3,0.46,17
C10074,7068.57,0.99,4399.11,1797.03,1368.24,4862.31,0.25,0.25,0.42,0.11,3,13,12783.45,1876.41,1511.53,0.25,8
C10075,7290.07,0.71,4354.19,2599.63,1154.96,2590.05,0.03,0.09,0.12,0.22,1,16,12046.07,746.79,299.84,0.22,22
C10076,7712.7,0.69,1201.59,2840.73,863.83,3070.93,0.26,0.29,0.3,0.24,1,17,5623.01,2990.38,1739.4,0.49,14
C10077,740.45,0.84,2261.68,326.66,559.09,1183.05,0.44,0.32,0.29,0.23,0,15,8498.84,2334.27,1290.22,0.5,13
C10078,3584.66,0.61,4925.1,472.94,1539.48,2417.49,0.44,0.28,0.18,0.22,0,9,,4199.83,466.54,0.33,28
C10079,1158.69,0.97,3862.34,2834.76,460.28,2145.75,0.29,0.37,0.24,0.06,1,8,8538.66,4923.81,323.86,0.06,11
C10080,8631.03,0.89,145.57,2212.24,1387.79,374.48,0.36,0.17,0.16,0.1,0,11,,3311.07,1258.97,0.25,35
C10081,6232.98,0.54,335.37,2650.15,474.33,530.8,0.77,0.38,0.07,0.14,0,19,8742.53,289.96,1802.67,0.26,20
C10082,3308.98,0.71,2325.02,615.87,1254.41,4187.36,0.3,0.22,0.11,0.1,3,13,10082.11,3751.64,1439.54,0.26,15
C10083,635.58,0.94,4547.01,1766.88,1496.69,1199.1,0.21,0.24,0.05,0.23,1,16,6462.74,426.81,703.61,0.28,28
C10084,3109.82,0.97,2698.12,2106.41,445.24,974.79,0.19,0.32,0.34,0.1,1,9,7979.63,3736.5,1178.89,0.01,32
C10085,3251.83,0.73,2494.08,2043.53,129.29,2524.56,0.37,0.01,0.33,0.04,1,9,13259.15,4141.68,628.42,0.36,30
C10086,7296.06,0.81,536.31,1230.37,270.64,3843.74,0.61,0.33,0.48,0.12,1,9,2519.88,1266.83,1998.31,0.36,11
C10087,6375.57,0.58,3287.33,56.03,1215.93,309.73,0.16,0.31,0.36,0.29,1,17,12084.26,4934.14,1500.19,0.06,20
C10088,8872.13,1.0,4112.29,1752.95,1700.4,2884.04,0.57,0.15,0.03,0.07,1,18,3390.56,5475.4,1232.62,0.29,35
C10089,4722.15,0.62,1908.3,766.77,99.54,596.05,0.02,0.04,0.44,0.18,0,19,1513.91,4897.21,852.29,0.28,19
C10090,1195.94,0.97,3880.3,1356.26,1470.96,182.31,0.34,0.05,0.43,0.13,0,13,3598.04,1900.14,1240.12,0.34,31
C10091,7132.45,0.82,4822.74,2873.17,689.22,263.72,0.62,0.46,0.22,0.02,1,15,11710.6,3561.19,689.82,0.04,24
C10092,7607.85,0.8,1026.79,1203.12,962.27,4170.82,0.27,0.34,0.29,0.15,2,18,,5497.41,67.44,0.31,18
C10093,5612.77,0.76,2621.41,2521.01,1858.43,589.86,0.45,0.06,0.49,0.21,1,18,13215.29,1991.92,796.23,0.14,19
C10094,7709.67,0.62,1442.82,573.74,670.62,225.76,0.16,0.18,0.27,0.15,1,16,8345.91,4938.16,1861.66,0.25,8
C10095,4937.96,0.59,3966.34,2020.66,936.02,2189.5,0.59,0.3,0.45,0.26,2,22,1311.5,155.9,1256.34,0.39,9
C10096,5227.33,0.61,2892.19,2931.25,37.23,4219.97,0.04,0.42,0.04,0.09,0,22,11033.99,121.52,,0.35,31
C10097,4275.41,0.59,3176.57,314.66,172.38,1312.04,0.68,0.02,0.1,0.03,0,13,2543.26,4582.3,1771.14,0.06,34
C10098,254.19,0.89,3991.59,34.88,524.6,2108.56,0.16,0.12,0.22,0.28,1,18,12051.31,4592.54,545.06,0.3,19
C10099,1078.91,0.68,1985.89,1306.41,65.43,199.61,0.7,0.44,0.29,0.11,0,17,3353.44,4754.97,495.1,0.48,19
C10100,314.29,0.53,4576.3,286.95,1266.44,2245.39,0.28,0.0,0.41,0.17,1,11,5836.25,5587.16,601.21,0.08,31
C10101,6364.1,0.98,2669.81,2247.67,858.53,2888.07,0.58,0.1,0.49,0.24,3,12,11657.8,795.65,1158.63,0.43,13
C10102,3143.56,0.94,798.19,2744.5,1100.81,2854.54,0.26,0.48,0.19,0.1,0,18,14359.24,1468.71,1093.93,0.35,15
C10103,5085.71,0.96,3482.54,1307.72,357.55,1662.13,0.72,0.31,0.02,0.21,1,8,6200.08,5431.98,987.91,0.39,14
C10104,9075.66,1.0,3968.37,783.55,598.9,1577.67,0.1,0.13,0.4,0.04,0,14,12611.6,1145.69,1437.9,0.14,19
C10105,2492.92,0.59,1590.64,1308.87,1331.01,533.12,0.14,0.03,0.3,0.09,0,12,3671.09,4125.15,639.91,0.14,13
C10106,4103.83,0.7,4287.32,2173.11,1930.95,1833.99,0.39,0.01,0.1,0.04,0,15,12300.52,3229.73,1566.31,0.45,16
C10107,7555.51,0.88,4531.65,37.07,110.33,497.47,0.07,0.12,0.25,0.24,0,9,10204.92,590.84,358.89,0.18,15
C10108,2287.98,0.85,1391.75,1772.47,1781.86,3832.98,0.16,0.44,0.37,0.07,1,23,3698.41,1783.06,1567.42,0.03,23
C10109,769.8,0.58,4917.77,1843.74,1157.99,4831.37,0.76,0.21,0.39,0.22,0,13,5235.06,3170.2,1330.98,0.3,9
C10110,2897.51,0.91,712.15,1916.69,1132.2,4850.37,0.78,0.36,0.25,0.28,2,21,2844.79,5128.87,1369.58,0.06,9
C10111,1612.21,0.61,1018.06,733.65,1005.55,4325.36,0.3,0.46,0.15,0.16,0,11,6361.54,4274.48,968.29,0.4,17
C10112,9296.98,0.61,929.28,2145.02,148.09,3003.96,0.74,0.2,0.49,0.16,3,16,3851.08,3769.11,1337.33,0.32,23
C10113,8081.2,0.77,4471.01,283.26,188.85,3504.33,0.44,0.1,0.33,0.14,0,13,10015.97,3026.59,168.8,0.44,34
C10114,6334.04,0.8,3274.92,605.82,1205.81,1426.03,0.22,0.26,0.2,0.1,1,17,,1862.24,1704.59,0.39,13
C10115,8714.61,0.79,769.0,2633.64,688.51,3153.85,0.56,0.45,0.14,0.14,3,14,1168.13,803.54,120.54,0.06,8
C10116,8036.72,0.55,2207.21,2218.78,1835.36,2278.25,0.53,0.4,0.37,0.18,0,10,8572.88,2513.55,306.0,0.19,23
C10117,1865.7,0.94,3080.34,51.1,819.12,2410.09,0.79,0.03,0.12,0.3,2,11,9031.33,268.26,1157.81,0.39,12
C10118,8925.59,0.63,426.49,752.65,295.13,3788.88,0.21,0.35,0.09,0.28,0,19,13798.92,1345.23,1481.43,0.21,6
C10119,5393.42,0.56,4413.26,651.08,1432.29,1409.59,0.54,0.29,0.26,0.26,0,21,8084.07,2651.65,161.74,0.49,27
C10120,8074.4,0.94,4019.98,819.71,593.77,1590.2,0.04,0.45,0.14,0.27,1,13,8611.82,2569.77,1842.32,0.37,18
C10121,8960.91,0.98,2530.98,750.2,1055.69,4623.21,0.09,0.06,0.31,0.14,2,11,7603.14,361.34,,0.01,34
C10122,3180.03,0.93,4835.96,196.95,1398.69,281.12,0.0,0.27,0.06,0.2,2,19,4764.66,3575.45,1215.84,0.44,8
C10123,1100.52,0.9,2094.63,1382.23,1801.53,2428.17,0.8,0.44,0.33,0.27,1,17,1784.41,3343.14,967.67,0.05,34
C10124,2279.35,0.83,4920.71,2200.87,1586.46,4564.0,0.64,0.21,0.14,0.12,1,13,6721.21,560.82,1485.38,0.07,8
C10125,4271.08,0.78,3342.92,1824.13,1355.96,3051.82,0.63,0.24,0.0,0.29,1,15,1736.28,5664.66,663.43,0.37,20
C10126,8180.15,0.54,3177.01,2021.89,1362.47,2732.04,0.41,0.04,0.06,0.12,0,7,8706.89,686.36,991.6,0.43,26
C10127,8607.31,0.7,838.11,252.64,1892.39,1248.72,0.24,0.14,0.47,0.18,1,12,5302.11,5143.52,1833.14,0.27,35
C10128,69.52,0.69,4410.82,2854.96,598.69,1716.38,0.12,0.16,0.43,0.21,2,15,8470.43,101.83,1911.75,0.14,24
C10129,5107.47,0.63,2143.17,2517.09,12.21,4260.24,0.23,0.47,0.12,0.29,1,10,2880.16,5305.46,1854.87,0.18,33
C10130,4174.11,0.86,819.54,2417.22,551.19,2796.09,0.3,0.14,0.39,0.07,0,18,14056.82,216.35,532.27,0.17,9
C10131,2221.08,0.75,72.91,2470.72,443.6,2573.71,0.61,0.23,0.3,0.22,2,17,13523.3,4571.09,472.61,0.16,18
C10132,1198.65,0.54,2803.18,2798.8,1327.05,497.9,0.43,0.34,0.49,0.16,1,16,3659.95,2233.98,602.35,0.12,18
C10133,3376.15,0.61,2641.72,1637.32,1271.09,80.14,0.06,0.08,0.19,0.08,1,19,5808.22,4455.48,888.21,0.3,20
C10134,9429.1,0.84,3599.57,608.84,1190.99,4818.43,0.01,0.24,0.34,0.23,2,12,9588.9,2470.3,635.19,0.45,24
C10135,3232.03,0.54,4452.39,1854.18,42.32,1884.93,0.08,0.37,0.03,0.17,2,13,2339.61,518.36,754.68,0.15,21
C10136,5187.91,0.93,406.24,2231.22,1460.27,3016.07,0.33,0.43,0.2,0.2,1,21,5963.95,4628.29,1245.07,0.09,12
C10137,7030.19,0.75,3660.17,2216.37,653.83,398.58,0.75,0.31,0.48,0.1,0,15,4515.57,520.39,1527.43,0.42,8
C10138,3636.3,0.74,945.19,1569.13,1333.46,3415.57,0.51,0.33,0.27,0.14,1,13,13817.23,5540.51,1473.76,0.37,35
C10139,9717.82,0.8,4292.3,214.69,1117.59,4662.83,0.64,0.06,0.14,0.19,2,15,12935.15,400.75,1630.7,0.47,31
C10140,9624.47,0.91,4097.13,1119.63,692.03,2878.33,0.37,0.47,0.06,0.12,2,14,9117.66,2928.02,74.05,0.08,25
C10141,2517.82,0.67,2708.56,2763.09,277.81,630.58,0.29,0.07,0.35,0.06,1,18,8284.85,4365.9,104.99,0.07,7
C10142,4972.49,0.84,3554.11,1757.5,197.89,2908.61,0.09,0.39,0.32,0.29,1,24,14030.16,2420.15,1580.87,0.27,23
C10143,3008.78,0.78,1578.61,1619.61,1664.72,3831.74,0.7,0.13,0.19,0.15,1,19,14053.99,1381.68,1070.83,0.31,30
C10144,2848.4,0.63,2361.13,813.87,1837.61,2032.08,0.63,0.47,0.48,0.22,1,16,14570.62,4578.64,1160.5,0.24,16
C10145,368.87,0.94,4109.97,1111.66,1303.08,4399.19,0.13,0.36,0.01,0.12,0,15,2755.3,4727.34,114.65,0.3,6
C10146,6095.64,0.9,2301.73,2687.08,215.83,3243.41,0.41,0.38,0.15,0.11,1,18,3247.81,5543.9,518.07,0.09,21
C10147,5026.79,0.83,1795.41,2002.72,810.03,4496.24,0.39,0.11,0.46,0.12,1,14,10474.31,2319.37,1280.33,0.24,22
C10148,514.79,0.93,2476.12,2364.29,1460.59,3117.53,0.5,0.22,0.16,0.12,1,6,8580.08,3086.89,1719.77,0.33,21
C10149,2786.46,0.93,4142.96,1368.49,1561.84,656.44,0.76,0.31,0.13,0.16,0,10,1258.52,2242.46,1834.8,0.22,15
C10150,9082.66,0.85,1682.69,1894.44,245.26,1548.46,0.46,0.38,0.27,0.16,1,9,1867.65,1616.78,1005.83,0.34,22
C10151,2395.62,0.92,877.07,752.67,10.06,1008.97,0.43,0.05,0.41,0.15,2,18,13433.13,4531.09,1095.49,0.23,35
C10152,1448.95,0.85,3562.95,2119.33,1427.15,4544.13,0.04,0.48,0.05,0.04,0,10,13164.19,2103.95,1667.77,0.17,8
C10153,4894.53,0.84,4131.63,1288.53,719.63,3802.0,0.05,0.45,0.47,0.15,3,17,6001.79,2626.08,1079.87,0.15,23
C10154,9856.5,0.81,512.18,1333.21,516.42,3381.99,0.15,0.14,0.4,0.05,1,14,13474.71,2481.67,,0.21,24
C10155,2420.55,0.88,1206.97,1951.47,35.67,1504.83,0.03,0.41,0.09,0.04,2,12,,4304.7,1811.12,0.01,19
C10156,6721.36,0.58,718.44,2809.48,1085.2,920.22,0.59,0.26,0.36,0.28,1,20,12282.68,5514.99,1581.97,0.33,26
C10157,7616.2,0.94,1746.23,201.38,1703.79,3782.26,0.58,0.23,0.19,0.18,1,15,6984.03,4033.86,1819.05,0.42,30
C10158,2376.38,0.94,2257.25,2475.98,1915.69,2370.79,0.11,0.16,0.2,0.2,1,11,2587.58,2882.34,444.31,0.18,7
C10159,7282.16,0.51,3746.64,884.23,1135.83,1128.95,0.67,0.29,0.39,0.12,2,19,7072.18,4697.31,1053.51,0.02,17
C10160,3677.83,0.91,3259.23,1337.32,1033.78,3083.11,0.12,0.36,0.48,0.27,0,21,7402.2,3881.73,1686.52,0.49,16
C10161,6323.06,0.56,3108.43,75.52,179.26,201.67,0.24,0.21,0.06,0.19,1,10,8713.22,457.6,231.18,0.13,35
C10162,6335.3,0.67,1768.35,910.13,1102.26,1630.85,0.2,0.31,0.21,0.23,1,17,2478.16,664.42,1591.38,0.06,22
C10163,5357.75,0.87,4208.82,1512.87,766.16,2342.78,0.3,0.35,0.24,0.11,1,20,14879.63,323.71,374.12,0.18,32
C10164,902.9,0.58,2361.72,177.97,1218.2,739.79,0.2,0.36,0.19,0.29,0,13,4417.92,2795.22,1618.16,0.37,11
C10165,8353.02,0.91,4895.73,1478.38,783.57,4923.27,0.39,0.03,0.18,0.25,0,11,3779.73,4972.54,1227.88,0.15,24
C10166,3207.8,0.92,3174.37,2782.06,488.2,1045.49,0.33,0.43,0.03,0.26,1,14,8375.24,1947.19,394.54,0.29,18
C10167,1865.19,0.75,640.06,325.13,198.98,651.77,0.79,0.23,0.34,0.05,2,11,8520.91,2366.55,951.97,0.21,12
C10168,407.75,0.5,3384.13,2295.68,636.69,1017.67,0.04,0.13,0.22,0.08,1,12,7157.49,5465.91,1366.99,0.06,27
C10169,5908.93,0.64,1632.27,1234.92,202.32,3845.31,0.11,0.12,0.1,0.09,1,11,11806.49,5037.73,1271.37,0.17,16
C10170,6775.64,0.81,3434.77,1968.97,362.02,2127.53,0.04,0.24,0.41,0.08,1,16,8233.16,4023.78,860.22,0.36,12
C10171,165.88,0.99,357.51,788.11,1974.8,2827.08,0.5,0.44,0.4,0.26,1,17,9535.74,1674.14,1799.74,0.31,18
C10172,5120.93,0.82,882.66,486.88,893.77,105.05,0.04,0.19,0.24,0.01,1,12,11132.45,790.54,1043.33,0.06,18
C10173,2264.96,0.63,4280.13,489.78,1068.42,172.16,0.67,0.37,0.15,0.02,1,17,1350.35,194.75,1016.68,0.08,26
C10174,6451.73,0.82,1143.63,220.77,1748.5,2229.13,0.41,0.05,0.32,0.08,2,11,8989.02,731.36,133.88,0.32,6
C10175,1743.66,0.77,4186.84,565.08,1991.18,4083.28,0.42,0.24,0.14,0.06,2,12,13378.72,1826.32,1845.02,0.41,35
C10176,6909.38,0.89,1403.59,1996.02,1169.6,4426.19,0.45,0.5,0.12,0.07,1,11,1243.44,3355.56,362.46,0.17,24
C10177,3867.35,0.55,3217.98,2646.25,1626.82,433.53,0.14,0.39,0.37,0.24,1,18,6672.55,477.6,1061.41,0.3,24
C10178,9367.3,0.88,3473.81,2444.24,660.61,2691.82,0.16,0.11,0.02,0.17,1,14,13967.18,903.74,1609.1,0.09,28
C10179,1375.21,0.77,2568.15,2058.55,618.43,4566.15,0.26,0.25,0.05,0.0,0,19,5944.16,1168.38,438.75,0.16,20
C10180,3410.66,0.98,1533.5,340.19,811.38,1939.86,0.47,0.12,0.0,0.13,1,13,7422.2,3828.69,,0.01,19
C10181,1134.74,0.67,1071.1,874.67,1348.29,4147.83,0.17,0.2,0.08,0.12,0,17,14741.58,3733.16,488.96,0.38,34
C10182,9246.94,0.82,175.61,936.32,1367.56,668.48,0.09,0.39,0.03,0.03,5,19,3790.53,3349.52,1521.79,0.2,8
C10183,8773.39,0.97,1526.69,757.37,637.33,4676.97,0.78,0.39,0.5,0.2,1,11,1913.57,1577.96,1133.04,0.41,32
C10184,2579.42,0.55,3269.28,1549.87,275.09,3757.12,0.02,0.11,0.14,0.21,0,10,13031.92,2289.61,1713.39,0.35,26
C10185,6599.84,0.97,4692.14,1611.31,1268.47,4706.67,0.64,0.46,0.07,0.22,1,19,13158.51,670.47,,0.41,25
C10186,8172.22,0.84,4357.31,1077.09,265.37,3383.09,0.63,0.3,0.12,0.22,0,14,7609.09,1436.12,1300.98,0.14,9
C10187,5552.01,0.53,3832.66,1067.83,1161.2,1817.02,0.24,0.19,0.47,0.0,2,17,8198.9,5396.46,1453.53,0.09,34
